 ,Count,Percent,W/L,Percent
R,220 of 416,52.88%,118 of 220,53.63%
P,177 of 416,42.54%,71 of 177,40.11%
 ,Count,Percent,W/L,Percent
R,28 of 38,73.68%,17 of 28,60.71%
P,8 of 38,21.05%,4 of 8,50.00%
 ,Count,Percent,W/L,Percent
R,33 of 64,51.56%,21 of 33,63.63%
P,26 of 64,40.62%,13 of 26,50.00%
 ,Count,Percent,W/L,Percent
R,99 of 167,59.28%,47 of 99,47.47%
P,61 of 167,36.52%,22 of 61,36.06%
 ,Count,Percent,W/L,Percent
R,16 of 38,42.10%,8 of 16,50.00%
P,22 of 38,57.89%,6 of 22,27.27%
 ,Count,Percent,W/L,Percent
R,29 of 36,80.55%,23 of 29,79.31%
P,6 of 36,16.66%,4 of 6,66.66%
 ,Count,Percent,W/L,Percent
R,8 of 15,53.33%,3 of 8,37.50%
P,7 of 15,46.66%,5 of 7,71.42%
 ,Count,Percent,W/L,Percent
R,11 of 55,20.00%,3 of 11,27.27%
P,37 of 55,67.27%,19 of 37,51.35%
 ,Count,Percent,W/L,Percent
R,15 of 66,22.72%,4 of 15,26.66%
P,50 of 66,75.75%,19 of 50,38.00%
 ,Count,Percent,W/L,Percent
R,7 of 32,21.87%,1 of 7,14.28%
P,22 of 32,68.75%,3 of 22,13.63%
 ,Count,Percent,W/L,Percent
R,11 of 13,84.61%,6 of 11,54.54%
P,1 of 13,7.69%,1 of 1,100.00%
 ,Count,Percent,W/L,Percent
R,0 of 3,0,0 of 0,0
P,3 of 3,100.00%,1 of 3,33.33%
 ,Count,Percent,W/L,Percent
R,0 of 1,0,0 of 0,0
P,1 of 1,100.00%,1 of 1,100.00%
 ,Count,Percent,W/L,Percent
R,0 of 1,0,0 of 0,0
P,1 of 1,100.00%,0 of 1,0
 ,Count,Percent,W/L,Percent
R,1 of 2,50.00%,1 of 1,100.00%
P,1 of 2,50.00%,1 of 1,100.00%
 ,Count,Percent,W/L,Percent
R,37 of 75,49.33%,20 of 37,54.05%
P,35 of 75,46.66%,11 of 35,31.42%
 ,Count,Percent,W/L,Percent
R,35 of 66,53.03%,20 of 35,57.14%
P,26 of 66,39.39%,7 of 26,26.92%
 ,Count,Percent,W/L,Percent
R,18 of 38,47.36%,10 of 18,55.55%
P,18 of 38,47.36%,10 of 18,55.55%
 ,Count,Percent,W/L,Percent
R,21 of 33,63.63%,8 of 21,38.09%
P,11 of 33,33.33%,2 of 11,18.18%
 ,Count,Percent,W/L,Percent
R,18 of 38,47.36%,10 of 18,55.55%
P,18 of 38,47.36%,10 of 18,55.55%
